"team","mean","sd","median"
"Orlando.Magic",1468.98789137924,106.984732807838,1444.07665274418
"Atlanta.Hawks",1450.00965718868,100.44496628277,1435.4440035298
"Brooklyn.Nets",1448.95301323667,95.2833467654695,1461.46323483704
"Toronto.Raptors",1500.74253024679,99.1835112924072,1520.40267384274
"New.York.Knicks",1423.09303376331,73.3721016774355,1415.08136667348
"Dallas.Mavericks",1582.54216002303,85.0948895521843,1598.56204582192
"Houston.Rockets",1561.73765302566,68.3128106398588,1561.08863721008
"San.Antonio.Spurs",1653.84239406011,69.5092240660965,1675.18870039993
"Chicago.Bulls",1460.01455089385,112.730714193243,1473.42993769418
"Utah.Jazz",1542.93469226281,70.2566598587251,1560.56177916648
"Portland.Trailblazers",1528.64523925945,76.3411771068046,1536.88178174265
"Golden.State.Warriors",1520.03688327419,146.969642462488,1468.90234195321
"Memphis.Grizzlies",1478.88052734061,98.5611105708863,1513.91207528663
"Philadelphia.76ers",1468.44503381645,111.140369071693,1477.29644722681
"Boston.Celtics",1543.31471128324,92.8651552172102,1552.11883660761
"Cleveland.Cavaliers",1477.10721038065,136.731303457803,1413.02204981263
"Charlotte.Hornets",1431.15767474322,80.4248590551998,1438.41798175289
"Miami.Heat",1540.96487607632,99.7076680156012,1531.05460553378
"Oklahoma.City.Thunder",1543.12874847647,105.347417160794,1565.4494340777
"Los.Angeles.Lakers",1553.03069743885,129.265640187176,1596.48930926688
"Denver.Nuggets",1524.97288676538,83.4802028227934,1534.2413034041
"Phoenix.Suns",1512.28520336819,117.0133998182,1522.86140947096
"Los.Angeles.Clippers",1508.1357872279,110.354773299942,1535.64121998633
"Washington.Wizards",1436.24857000263,77.2124280451696,1447.11235149273
"Detroit.Pistons",1494.51392853138,108.617530480208,1483.24231765951
"Indiana.Pacers",1521.59128526801,57.1383477303498,1529.06401984088
"Minnesota.Timberwolves",1447.11291728531,107.228074925503,1430.13491033992
"Milwaukee.Bucks",1489.10099097209,95.6394505634659,1477.58639834504
"Sacramento.Kings",1466.42862440561,114.246781795385,1440.45050979801
"New.Orleans.Pelicans",1469.10271361699,63.8124192726844,1459.1127954683
