"Orlando Magic","Atlanta Hawks","Brooklyn Nets","Toronto Raptors","New York Knicks","Dallas Mavericks","Houston Rockets","San Antonio Spurs","Chicago Bulls","Utah Jazz","Portland Trailblazers","Golden State Warriors","Memphis Grizzlies","Philadelphia 76ers","Boston Celtics","Cleveland Cavaliers","Charlotte Hornets","Miami Heat","Oklahoma City Thunder","Los Angeles Lakers","Denver Nuggets","Phoenix Suns","Los Angeles Clippers","Washington Wizards","Detroit Pistons","Indiana Pacers","Minnesota Timberwolves","Milwaukee Bucks","Sacramento Kings","New Orleans Pelicans"
1512.57788251793,1348.97748797488,1382.76698356757,1529.48138948822,1552.35951902642,1591.77751797295,1537.81385278108,1675.18870039993,1248.65445137058,1619.73111661834,1642.74047404863,1312.09054972787,1362.7451272299,1626.66414343314,1445.54032730995,1413.02204981263,1579.74403690471,1580.38308562323,1516.28042244318,1660.02146896896,1466.01540829192,1595.59667964292,1346.18227048039,1342.79952773834,1442.91677027653,1525.0054523495,1559.07422548924,1573.39138069398,1627.30727958401,1400
1519.96187536685,1385.59807952333,1537.05888427552,1520.40267384274,1438.10989493884,1635.24126599146,1456.31568817552,1671.6001260489,1281.70127669244,1558.47589658388,1570.54077136293,1320.77750892162,1329.44495064497,1544.18985483706,1534.97813266365,1384.47266430893,1534.14365265543,1451.79330243584,1565.4494340777,1712.4295403264,1401.87050107995,1519.10905310266,1498.22009856799,1421.63200009541,1527.41937166261,1496.91952514021,1601.36626680967,1555.89162620392,1677.37627373301,1400
1502.08773463683,1414.34451311941,1601.25553799341,1383.04325312051,1430.94345570767,1704.40395195851,1504.03781160289,1681.43915838185,1352.03327440665,1560.56177916648,1599.26012512281,1428.94744884887,1372.69870140752,1552.46618554048,1532.92397817778,1296.6877802294,1400,1403.92902999644,1516.95266947998,1612.5386824314,1316.76269281781,1522.86140947096,1414.93888992624,1459.55070504906,1588.44469246197,1552.67984312316,1568.13290779573,1482.01519313403,1670.81812518215,1489.06241002177
1362.40027251229,1388.2053718262,1578.66869799293,1396.07306378838,1455.67256554534,1621.6150729327,1561.08863721008,1695.79510900686,1346.12004699637,1505.0341794441,1514.75038357657,1468.90234195321,1537.36439635656,1465.92010022607,1446.75078547151,1373.63073893366,1400,1446.52862894233,1490.72769911213,1640.08844840995,1473.77195923834,1433.86044207678,1414.79005762352,1367.15987732257,1620.19558605711,1622.61252254302,1644.18611030199,1503.92763307963,1659.23612171614,1509.35858947587
1420.94262420159,1287.62429643887,1465.09842805638,1420.77506333696,1435.46021423609,1638.86706834772,1567.06841066739,1722.77670019588,1461.91632239507,1425.89385172102,1441.47514749663,1422.57468066246,1556.24767112771,1456.5482094919,1491.08390943903,1500.60577429876,1369.13744879716,1642.72314978528,1591.70039522048,1522.70820826753,1526.87556889332,1641.62235654692,1451.45655639382,1474.86544836884,1627.84532270523,1551.91112338813,1558.58374264162,1435.05887045719,1595.29758183912,1356.57890322876
1408.27427559687,1297.39980233206,1550.39952156713,1395.46567994546,1353.06423958799,1692.31371847266,1505.85390378802,1702.86998448073,1498.78370235642,1440.63809978268,1345.61228843199,1473.9827210472,1560.82224656058,1469.15840549691,1466.46447748986,1547.56450621078,1346.13729849026,1622.90921449882,1460.80324230285,1511.21371286265,1537.94122944323,1657.98049791488,1544.84526908214,1496.48965697751,1713.69425414997,1535.42641775496,1498.26672430742,1444.22715271818,1514.53880805388,1441.60574125344
1487.84775332847,1379.31245271,1504.17136241734,1480.78310225196,1393.32879065202,1714.48199079148,1573.40678100786,1687.10501755926,1568.28648656694,1581.44791011408,1374.90777206347,1486.70895537368,1406.9275270092,1418.23061060303,1377.19923046409,1575.39733283888,1398.29208432972,1532.86978372866,1450.85722718844,1537.88627134361,1520.90718667189,1674.10699648473,1509.988139293,1519.61098397304,1628.5387360885,1469.69646733028,1447.52740922854,1421.17439618929,1482.85132086354,1459.1127954683
1574.08536402475,1435.4440035298,1438.91964309217,1530.16182893116,1349.83316844068,1628.14478082854,1606.17665670628,1668.31688988866,1473.42993769418,1623.49150172304,1475.1226320041,1581.83516753616,1355.41214330005,1477.29644722681,1653.57946414497,1539.65046414349,1412.51330964082,1333.79159189224,1338.35747242628,1638.24493569522,1573.05599307484,1647.81460518165,1411.23225973626,1482.10430246969,1660.40595359917,1429.62103886954,1319.24241417461,1368.1863059644,1450.94643893833,1604.97091829105
1660.07217122861,1531.68062661466,1434.60987972833,1441.93551525712,1393.67434546996,1570.83429830016,1621.81377250697,1624.04659244531,1471.62136605569,1596.86565694692,1566.17815840772,1443.17509106282,1322.8238586568,1500.77182687119,1710.31490949706,1696.19558050578,1438.41798175289,1447.05149326771,1306.0257632674,1739.27428540753,1611.59049480742,1561.89424958146,1312.55309280559,1348.67717940171,1539.73949024986,1451.71179757006,1351.45151585728,1414.02304228516,1346.88239878594,1596.13563723017
1671.3691595087,1592.19356317793,1282.83595533612,1470.64470772904,1388.50709007611,1603.38276123405,1560.1791911768,1595.41089318622,1488.5798420484,1602.85442803889,1583.98276498409,1381.51969943371,1458.656793856,1416.06350872412,1628.13141756773,1725.93880366229,1509.77264377016,1521.51787144285,1530.4560989911,1691.35751458893,1628.88471513655,1598.62303065281,1363.2415580449,1353.93605596296,1387.91126051399,1415.96154644186,1291.82656043159,1497.59694084586,1341.89600789986,1476.64086152449
